id,split,audio_path,original_name,source,voice,language,transcript_asr,text,intent,canonical_text,hash,duration
cmd_0001,train,data/dataset_curated/audio/cmd_0001.mp3,luvvoice.com-20260606-k2xcx0.mp3,luvvoice,unknown,ru,,,,,CC8913C33579CD69319AF71C8F324DFDFB5F0D4ED55DDDC17BD47D4F2D1142BF,00:00:02
cmd_0002,train,data/dataset_curated/audio/cmd_0002.mp3,luvvoice.com-20260606-LooJGA.mp3,luvvoice,unknown,ru,,,,,C66462139F90DF345AF00055EFA7E2C825CBF2167841C7862E33BD8FD31842F5,00:00:02
cmd_0003,train,data/dataset_curated/audio/cmd_0003.mp3,luvvoice.com-20260606-LzKWgh.mp3,luvvoice,unknown,ru,,,,,78C0854D49EA9E483537FE56487253F53743B9C09CD5AB867DED1AF584323FB5,00:00:03
cmd_0004,train,data/dataset_curated/audio/cmd_0004.mp3,speechma_audio_Andrew Russian_at_5_34_53 AM_on_June_6th_2026.mp3,speechma,Andrew Russian,ru,,,,,798F29FF405F7F0DAD6E8E2A31679C77C6AE8BA36F8CBF9E90F8D922F3D14C80,00:00:01
cmd_0005,train,data/dataset_curated/audio/cmd_0005.mp3,speechma_audio_Andrew Russian_at_5_54_49 AM_on_June_6th_2026.mp3,speechma,Andrew Russian,ru,,,,,459D0535BE1F18D2B3CFA107993E85F9960C001BBBBF717B7A6559CD9418C997,00:00:02
cmd_0006,train,data/dataset_curated/audio/cmd_0006.mp3,speechma_audio_Andrew Russian_at_6_15_11 AM_on_June_6th_2026.mp3,speechma,Andrew Russian,ru,,,,,E7A0D53639F87780615F2357787A0AA3DF5344AE31E528D08BE6B5E227AA88DB,00:00:02
cmd_0007,train,data/dataset_curated/audio/cmd_0007.mp3,speechma_audio_Andrew Russian_at_6_15_33 AM_on_June_6th_2026.mp3,speechma,Andrew Russian,ru,,,,,D8A9CC9FE6CE4334A66D7B18C04150D2BDC1A89310FE69492735330CB9CEA3F5,00:00:01
cmd_0008,train,data/dataset_curated/audio/cmd_0008.mp3,speechma_audio_Andrew Russian_at_6_19_48 AM_on_June_6th_2026.mp3,speechma,Andrew Russian,ru,,,,,EC3184BA7FFCE804BD16AE13ABF9FBC7B05B4546C3404DE37947A325484EA48A,00:00:01
cmd_0009,train,data/dataset_curated/audio/cmd_0009.mp3,speechma_audio_Ava Russian_at_5_34_07 AM_on_June_6th_2026.mp3,speechma,Ava Russian,ru,,,,,53A0425D9AC259BE962F6C68FFAE39A5B8E5DE0E6DA9999A57CEB56468812405,00:00:01
cmd_0010,train,data/dataset_curated/audio/cmd_0010.mp3,speechma_audio_Ava Russian_at_5_51_30 AM_on_June_6th_2026.mp3,speechma,Ava Russian,ru,,,,,77F69042B49F3A4C8795C9574EDCA8CDD57AAF5BC5DD424E4CC1E40683E1BEE6,00:00:01
cmd_0011,train,data/dataset_curated/audio/cmd_0011.mp3,speechma_audio_Ava Russian_at_5_54_45 AM_on_June_6th_2026.mp3,speechma,Ava Russian,ru,,,,,546184CF363539E4A4BD7D43A222BEF79B1BD227B89138F2B1C3991AF0D86940,00:00:01
cmd_0012,train,data/dataset_curated/audio/cmd_0012.mp3,speechma_audio_Ava Russian_at_5_56_30 AM_on_June_6th_2026.mp3,speechma,Ava Russian,ru,,,,,AD3B88D12C134BFDE5FFDF41F0BCF1D9C45682B68CC4EDF3AAEC10088E0B2453,00:00:01
cmd_0013,train,data/dataset_curated/audio/cmd_0013.mp3,speechma_audio_Ava Russian_at_6_02_09 AM_on_June_6th_2026.mp3,speechma,Ava Russian,ru,,,,,91E88F19ABED0D7283BA038B86874A0B7A554270B47E412B85574FC03A4475FE,00:00:02
cmd_0014,train,data/dataset_curated/audio/cmd_0014.mp3,speechma_audio_Ava Russian_at_6_02_59 AM_on_June_6th_2026.mp3,speechma,Ava Russian,ru,,,,,14A1C92E34246BB2C06AD9858BF1F898F644E1F0A1DE327EDB11714F684FD2F8,00:00:02
cmd_0015,train,data/dataset_curated/audio/cmd_0015.mp3,speechma_audio_Ava Russian_at_6_08_37 AM_on_June_6th_2026.mp3,speechma,Ava Russian,ru,,,,,7C828BD7182439A8966A357EECBD6F4E355834D4F4316B5F0DDA527073C8CF47,00:00:01
cmd_0016,train,data/dataset_curated/audio/cmd_0016.mp3,speechma_audio_Ava Russian_at_6_13_58 AM_on_June_6th_2026.mp3,speechma,Ava Russian,ru,,,,,5232AE1C3698CE64891DE030034A7E95CBDBBEDA661F4E4BD7012FD0A9FA92CB,00:00:01
cmd_0017,train,data/dataset_curated/audio/cmd_0017.mp3,speechma_audio_Ava Russian_at_6_15_31 AM_on_June_6th_2026.mp3,speechma,Ava Russian,ru,,,,,B89953A6E650BC7C82997AE6385340633BFD5F1AD5562C103FF97B719454F880,00:00:01
cmd_0018,train,data/dataset_curated/audio/cmd_0018.mp3,speechma_audio_Ava Russian_at_6_16_33 AM_on_June_6th_2026.mp3,speechma,Ava Russian,ru,,,,,F6F54245D36B2ECD7CE7E5BEF8D823F41E5C3EAB8518372EE6AFB840261101C6,00:00:01
cmd_0019,train,data/dataset_curated/audio/cmd_0019.mp3,speechma_audio_Brian Russian_at_5_50_19 AM_on_June_6th_2026.mp3,speechma,Brian Russian,ru,,,,,814E9F46E16219AC3383D40C70F244440B0E7BAA0517997BEEAE4D3700FB1EF7,00:00:02
cmd_0020,train,data/dataset_curated/audio/cmd_0020.mp3,speechma_audio_Brian Russian_at_5_54_08 AM_on_June_6th_2026.mp3,speechma,Brian Russian,ru,,,,,0D8008D588F77200A087FF4F2BE1BF7973AD8AAC9EB9B3C3C3522E5CDF9343B7,00:00:01
cmd_0021,train,data/dataset_curated/audio/cmd_0021.mp3,speechma_audio_Brian Russian_at_5_58_01 AM_on_June_6th_2026.mp3,speechma,Brian Russian,ru,,,,,8A7F1C4066FD2152B6E14C71B73665C0D413CEE72CE1CC8B33C59FDB3F38DA05,00:00:01
cmd_0022,train,data/dataset_curated/audio/cmd_0022.mp3,speechma_audio_Brian Russian_at_6_03_24 AM_on_June_6th_2026.mp3,speechma,Brian Russian,ru,,,,,09BC60D35C98638B503242CA169F92257B64908C53B6DEE2FA0A02655CB89C60,00:00:02
cmd_0023,train,data/dataset_curated/audio/cmd_0023.mp3,speechma_audio_Brian Russian_at_6_07_43 AM_on_June_6th_2026.mp3,speechma,Brian Russian,ru,,,,,9E5FD16EE3A36F7803BFF33CFB16F32AF6A8D04CF49E6D34360AABB5378F6FFB,00:00:01
cmd_0024,train,data/dataset_curated/audio/cmd_0024.mp3,speechma_audio_Brian Russian_at_6_08_09 AM_on_June_6th_2026.mp3,speechma,Brian Russian,ru,,,,,5E5131408B398FCC224BF8F722AC232943B0887D79B8315150E2D84D2180C868,00:00:01
cmd_0025,train,data/dataset_curated/audio/cmd_0025.mp3,speechma_audio_Brian Russian_at_6_12_10 AM_on_June_6th_2026.mp3,speechma,Brian Russian,ru,,,,,0EC86A375A4BE8AF63887B5272E70E34A21F721C2C9B950B5B27D7D6A1C76ACF,00:00:01
cmd_0026,train,data/dataset_curated/audio/cmd_0026.mp3,speechma_audio_Brian Russian_at_6_14_22 AM_on_June_6th_2026.mp3,speechma,Brian Russian,ru,,,,,61C4C15AB9A347C02E93E4832AAE210804F7DDDD214B7C90A62AA4B9BD46C280,00:00:02
cmd_0027,train,data/dataset_curated/audio/cmd_0027.mp3,speechma_audio_Brian Russian_at_6_15_12 AM_on_June_6th_2026.mp3,speechma,Brian Russian,ru,,,,,A44490D8BF1A7E9D93E1456FDC18385B9E6E26B816D8E4420B2C3DDE48CC0503,00:00:02
cmd_0028,train,data/dataset_curated/audio/cmd_0028.mp3,speechma_audio_Dmitry_at_6_15_24 AM_on_June_6th_2026.mp3,speechma,Dmitry,ru,,,,,5E7396C61BB012D558A7287DA655CE27A7D57C12B1CE51FB15630D104A090FD1,00:00:03
cmd_0029,train,data/dataset_curated/audio/cmd_0029.mp3,speechma_audio_Dmitry_at_6_15_38 AM_on_June_6th_2026.mp3,speechma,Dmitry,ru,,,,,A1C262B2FD5C1BC3561A8AD0DF0A2E6176BAD48058CB774EC14F1056824E5463,00:00:02
cmd_0030,train,data/dataset_curated/audio/cmd_0030.mp3,speechma_audio_Dmitry_at_6_15_44 AM_on_June_6th_2026.mp3,speechma,Dmitry,ru,,,,,6864D5ED96C5F5A93F0C03E9423947D16EB9D2048B6B998F4D9AF2CB1AA83BA6,00:00:02
cmd_0031,train,data/dataset_curated/audio/cmd_0031.mp3,speechma_audio_Emma Russian_at_5_46_08 AM_on_June_6th_2026.mp3,speechma,Emma Russian,ru,,,,,E3668EE012970FB4207F00BC0D41021EFD15153BBCABB31EED54FB57BC024DE1,00:00:02
cmd_0032,train,data/dataset_curated/audio/cmd_0032.mp3,speechma_audio_Emma Russian_at_5_49_45 AM_on_June_6th_2026.mp3,speechma,Emma Russian,ru,,,,,BE096A1FD8B1D8F464F743074330EE3C8D779F743272E0F6D0F09A62337E0BE7,00:00:01
cmd_0033,train,data/dataset_curated/audio/cmd_0033.mp3,speechma_audio_Emma Russian_at_5_54_07 AM_on_June_6th_2026.mp3,speechma,Emma Russian,ru,,,,,5F32BEE6D0CE87F19BF0D3D6C893B93672DEAA9AB55747548B52A38D53F064A7,00:00:01
cmd_0034,train,data/dataset_curated/audio/cmd_0034.mp3,speechma_audio_Emma Russian_at_5_58_59 AM_on_June_6th_2026.mp3,speechma,Emma Russian,ru,,,,,477CAB9DE83E4B700A0F47E8ED8C1DD0B7045D69C5CCD57BDE010945533023A1,00:00:02
cmd_0035,train,data/dataset_curated/audio/cmd_0035.mp3,speechma_audio_Emma Russian_at_6_04_50 AM_on_June_6th_2026.mp3,speechma,Emma Russian,ru,,,,,3385377EB7CC830E6B8F2D66E0358F0BDB51100A7861C1199D456B71F54ED9C4,00:00:01
cmd_0036,train,data/dataset_curated/audio/cmd_0036.mp3,speechma_audio_Emma Russian_at_6_12_36 AM_on_June_6th_2026.mp3,speechma,Emma Russian,ru,,,,,DDF0D4C140D35EE18DC565149B899A515FDE14E84FE27BFECF1612F83464FC75,00:00:02
cmd_0037,train,data/dataset_curated/audio/cmd_0037.mp3,speechma_audio_Emma Russian_at_6_13_12 AM_on_June_6th_2026.mp3,speechma,Emma Russian,ru,,,,,F9B6AF5FEFE40B0A24A82C062F0F7A1C1D8047F24F0A9362D7C549EB2BF18C5C,00:00:02
cmd_0038,train,data/dataset_curated/audio/cmd_0038.mp3,speechma_audio_Emma Russian_at_6_14_46 AM_on_June_6th_2026.mp3,speechma,Emma Russian,ru,,,,,0CCF81EEE5FB920C1004A5919E989F700DAD16CF88D5183F607E9452E9DFF85C,00:00:02
cmd_0039,train,data/dataset_curated/audio/cmd_0039.mp3,speechma_audio_Emma Russian_at_6_15_25 AM_on_June_6th_2026.mp3,speechma,Emma Russian,ru,,,,,8F0FEFB64C496EBEA865502CB8A79D99B89F32CD9239EC038EBEDBAB5A0EB15E,00:00:02
cmd_0040,train,data/dataset_curated/audio/cmd_0040.mp3,speechma_audio_Emma Russian_at_6_15_27 AM_on_June_6th_2026.mp3,speechma,Emma Russian,ru,,,,,C1C02D1133CCE777705BDD0EB093F981A9E49963F1C775A2D0F06BE966711DFE,00:00:01
cmd_0041,train,data/dataset_curated/audio/cmd_0041.mp3,speechma_audio_Emma Russian_at_6_16_59 AM_on_June_6th_2026.mp3,speechma,Emma Russian,ru,,,,,112681C6738465BA8BC467DBB3C9B44F8DD45CC097FA798DF7DB7647EC5E78A3,00:00:01
cmd_0042,train,data/dataset_curated/audio/cmd_0042.mp3,speechma_audio_Emma Russian_at_6_17_26 AM_on_June_6th_2026.mp3,speechma,Emma Russian,ru,,,,,9EEF42127606ED26FBAD3EE54F9445EF87754831268C5C17BD786B558D80DD53,00:00:02
cmd_0043,train,data/dataset_curated/audio/cmd_0043.mp3,speechma_audio_Emma Russian_at_6_17_50 AM_on_June_6th_2026.mp3,speechma,Emma Russian,ru,,,,,A05D5F7AD6D6CF5E856F8A371B14128BEA93DF2DBAECA19F0702EA43B79B90D0,00:00:01
cmd_0044,train,data/dataset_curated/audio/cmd_0044.mp3,speechma_audio_Emma Russian_at_6_19_49 AM_on_June_6th_2026.mp3,speechma,Emma Russian,ru,,,,,018325867DE7400875527BC3CC6D3B2725932FC043E26559D0F7C79126EA61B0,00:00:02
cmd_0045,train,data/dataset_curated/audio/cmd_0045.mp3,speechma_audio_Florian Russian_at_5_52_44 AM_on_June_6th_2026.mp3,speechma,Florian Russian,ru,,,,,6431636274E80D65BD74B49021C3A3EB4ED16ABF724A50CDDF979CBA2631D142,00:00:02
cmd_0046,train,data/dataset_curated/audio/cmd_0046.mp3,speechma_audio_Florian Russian_at_5_57_06 AM_on_June_6th_2026.mp3,speechma,Florian Russian,ru,,,,,3C797B69264ECAEE93969AF528FEB360367B08C283D63E5B1BEDC99225A4F2DA,00:00:02
cmd_0047,train,data/dataset_curated/audio/cmd_0047.mp3,speechma_audio_Florian Russian_at_5_57_35 AM_on_June_6th_2026.mp3,speechma,Florian Russian,ru,,,,,FC4DA57E15183C162E1046523F3B3F28E7A8A04505443B71613B03D133F3954E,00:00:02
cmd_0048,train,data/dataset_curated/audio/cmd_0048.mp3,speechma_audio_Florian Russian_at_6_03_57 AM_on_June_6th_2026.mp3,speechma,Florian Russian,ru,,,,,D13331BF777D30CA0573B2C8C6213CB548B823A7122C7D36DE507D1EE59622BC,00:00:01
cmd_0049,train,data/dataset_curated/audio/cmd_0049.mp3,speechma_audio_Florian Russian_at_6_05_50 AM_on_June_6th_2026.mp3,speechma,Florian Russian,ru,,,,,CF475463320110BEBB0432D0CA4A19FCADD7538768B5C3B055BF62CBF5B64335,00:00:01
cmd_0050,train,data/dataset_curated/audio/cmd_0050.mp3,speechma_audio_Florian Russian_at_6_07_12 AM_on_June_6th_2026.mp3,speechma,Florian Russian,ru,,,,,9A75AF46D2B90A658F81356BC04882C9F130E653D05BACC9FB195806518F685F,00:00:01
cmd_0051,train,data/dataset_curated/audio/cmd_0051.mp3,speechma_audio_Florian Russian_at_6_10_30 AM_on_June_6th_2026.mp3,speechma,Florian Russian,ru,,,,,8997C512846A171DFEFC093E72F368C3C80AD7C23B6C500B70C00C87CBF25697,00:00:02
cmd_0052,train,data/dataset_curated/audio/cmd_0052.mp3,speechma_audio_Florian Russian_at_6_15_15 AM_on_June_6th_2026.mp3,speechma,Florian Russian,ru,,,,,BC77705D58B43E5CB9992DA97459C3B01BC6C623082F7CA84D1148E96990D2F1,00:00:02
cmd_0053,train,data/dataset_curated/audio/cmd_0053.mp3,speechma_audio_Giuseppe Russian_at_5_53_22 AM_on_June_6th_2026.mp3,speechma,Giuseppe Russian,ru,,,,,15F0D4B8BF16FB7895C4E7A0A34DF41C0A39F7D5FC428CD8A74DA70A77D37CAB,00:00:02
cmd_0054,train,data/dataset_curated/audio/cmd_0054.mp3,speechma_audio_Giuseppe Russian_at_5_55_16 AM_on_June_6th_2026.mp3,speechma,Giuseppe Russian,ru,,,,,CD6FEADCC20B458E2F08987AEE36A2FAFD0EF5B1B0B314C8AB018E9059C6490B,00:00:02
cmd_0055,train,data/dataset_curated/audio/cmd_0055.mp3,speechma_audio_Giuseppe Russian_at_6_04_24 AM_on_June_6th_2026.mp3,speechma,Giuseppe Russian,ru,,,,,D97FE39A2DF9720273B34B95A3EB494A36899347F3C68C2D0BBDDE2ECDFAE203,00:00:02
cmd_0056,train,data/dataset_curated/audio/cmd_0056.mp3,speechma_audio_Giuseppe Russian_at_6_15_17 AM_on_June_6th_2026.mp3,speechma,Giuseppe Russian,ru,,,,,A8EB507C4A84CC793711E282583A510D7C53F7F1A9EE374074C77C0F537F03BD,00:00:02
cmd_0057,train,data/dataset_curated/audio/cmd_0057.mp3,speechma_audio_Giuseppe Russian_at_6_15_20 AM_on_June_6th_2026.mp3,speechma,Giuseppe Russian,ru,,,,,6DBCA512371763615BA9D0E0D1E07A221703BD8DEA0635FBB106B14FA2C898F5,00:00:02
cmd_0058,train,data/dataset_curated/audio/cmd_0058.mp3,speechma_audio_Hyunsu Russian_at_5_51_12 AM_on_June_6th_2026.mp3,speechma,Hyunsu Russian,ru,,,,,293AC6153B9992946FEEFAFC781AFED3580C9ADBC7A05B380D02317D76FF71E4,00:00:01
cmd_0059,train,data/dataset_curated/audio/cmd_0059.mp3,speechma_audio_Hyunsu Russian_at_6_09_10 AM_on_June_6th_2026.mp3,speechma,Hyunsu Russian,ru,,,,,68C9469EB7AE01A38F84909B988C8A5D9A16AC82586DE07E7991A4A893871D62,00:00:02
cmd_0060,train,data/dataset_curated/audio/cmd_0060.mp3,speechma_audio_Hyunsu Russian_at_6_15_13 AM_on_June_6th_2026.mp3,speechma,Hyunsu Russian,ru,,,,,244A04B5AA4A0C3F8221410A9E393BD0161E9696ADBDA020B32201FE964696B2,00:00:02
cmd_0061,train,data/dataset_curated/audio/cmd_0061.mp3,speechma_audio_Hyunsu Russian_at_6_15_18 AM_on_June_6th_2026.mp3,speechma,Hyunsu Russian,ru,,,,,75FE817AE4D6FDE86587E7B57C4A19EDC95909B8424772102D82C475A5C90DE9,00:00:02
cmd_0062,train,data/dataset_curated/audio/cmd_0062.mp3,speechma_audio_Remy Russian_at_5_55_53 AM_on_June_6th_2026.mp3,speechma,Remy Russian,ru,,,,,036898951B48D08D7C56E711456AF72064084941F39D48FF963674F73C6CB918,00:00:02
